Sample in Buffer,Sample in Window,TRIGGER,probe0_counter[31:0],probe1_reset[3:0],probe2_inputs[2:0],probe3_zero[31:0],probe4_zero[31:0],probe5_jtag[3:0],probe6_status[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
300,300,0,01596107,c,7,00000000,00000000,f,4
301,301,0,01596108,c,7,00000000,00000000,f,4
302,302,0,01596109,c,7,00000000,00000000,f,4
303,303,0,0159610a,c,7,00000000,00000000,f,4
304,304,0,0159610b,c,7,00000000,00000000,f,4
305,305,0,0159610c,c,7,00000000,00000000,f,4
306,306,0,0159610d,c,7,00000000,00000000,f,4
307,307,0,0159610e,c,7,00000000,00000000,f,4
308,308,0,0159610f,c,7,00000000,00000000,f,4
309,309,0,01596110,c,7,00000000,00000000,f,4
310,310,0,01596111,c,7,00000000,00000000,f,4
311,311,0,01596112,c,7,00000000,00000000,f,4
312,312,0,01596113,c,7,00000000,00000000,f,4
313,313,0,01596114,c,7,00000000,00000000,f,4
314,314,0,01596115,c,7,00000000,00000000,f,4
315,315,0,01596116,c,7,00000000,00000000,f,4
316,316,0,01596117,c,7,00000000,00000000,f,4
317,317,0,01596118,c,7,00000000,00000000,f,4
318,318,0,01596119,c,7,00000000,00000000,f,4
319,319,0,0159611a,c,7,00000000,00000000,f,4
320,320,0,0159611b,c,7,00000000,00000000,f,4
321,321,0,0159611c,c,7,00000000,00000000,f,4
322,322,0,0159611d,c,7,00000000,00000000,f,4
323,323,0,0159611e,c,7,00000000,00000000,f,4
324,324,0,0159611f,c,7,00000000,00000000,f,4
325,325,0,01596120,c,7,00000000,00000000,f,4
326,326,0,01596121,c,7,00000000,00000000,f,4
327,327,0,01596122,c,7,00000000,00000000,f,4
328,328,0,01596123,c,7,00000000,00000000,f,4
329,329,0,01596124,c,7,00000000,00000000,f,4
330,330,0,01596125,c,7,00000000,00000000,f,4
331,331,0,01596126,c,7,00000000,00000000,f,4
332,332,0,01596127,c,7,00000000,00000000,f,4
333,333,0,01596128,c,7,00000000,00000000,f,4
334,334,0,01596129,c,7,00000000,00000000,f,4
335,335,0,0159612a,c,7,00000000,00000000,f,4
336,336,0,0159612b,c,7,00000000,00000000,f,4
337,337,0,0159612c,c,7,00000000,00000000,f,4
338,338,0,0159612d,c,7,00000000,00000000,f,4
339,339,0,0159612e,c,7,00000000,00000000,f,4
340,340,0,0159612f,c,7,00000000,00000000,f,4
341,341,0,01596130,c,7,00000000,00000000,f,4
342,342,0,01596131,c,7,00000000,00000000,f,4
343,343,0,01596132,c,7,00000000,00000000,f,4
344,344,0,01596133,c,7,00000000,00000000,f,4
345,345,0,01596134,c,7,00000000,00000000,f,4
346,346,0,01596135,c,7,00000000,00000000,f,4
347,347,0,01596136,c,7,00000000,00000000,f,4
348,348,0,01596137,c,7,00000000,00000000,f,4
349,349,0,01596138,c,7,00000000,00000000,f,4
350,350,0,01596139,c,7,00000000,00000000,f,4
351,351,0,0159613a,c,7,00000000,00000000,f,4
352,352,0,0159613b,c,7,00000000,00000000,f,4
353,353,0,0159613c,c,7,00000000,00000000,f,4
354,354,0,0159613d,c,7,00000000,00000000,f,4
355,355,0,0159613e,c,7,00000000,00000000,f,4
356,356,0,0159613f,c,7,00000000,00000000,f,4
357,357,0,01596140,c,7,00000000,00000000,f,4
358,358,0,01596141,c,7,00000000,00000000,f,4
359,359,0,01596142,c,7,00000000,00000000,f,4
360,360,0,01596143,c,7,00000000,00000000,f,4
361,361,0,01596144,c,7,00000000,00000000,f,4
362,362,0,01596145,c,7,00000000,00000000,f,4
363,363,0,01596146,c,7,00000000,00000000,f,4
364,364,0,01596147,c,7,00000000,00000000,f,4
365,365,0,01596148,c,7,00000000,00000000,f,4
366,366,0,01596149,c,7,00000000,00000000,f,4
367,367,0,0159614a,c,7,00000000,00000000,f,4
368,368,0,0159614b,c,7,00000000,00000000,f,4
369,369,0,0159614c,c,7,00000000,00000000,f,4
370,370,0,0159614d,c,7,00000000,00000000,f,4
371,371,0,0159614e,c,7,00000000,00000000,f,4
372,372,0,0159614f,c,7,00000000,00000000,f,4
373,373,0,01596150,c,7,00000000,00000000,f,4
374,374,0,01596151,c,7,00000000,00000000,f,4
375,375,0,01596152,c,7,00000000,00000000,f,4
376,376,0,01596153,c,7,00000000,00000000,f,4
377,377,0,01596154,c,7,00000000,00000000,f,4
378,378,0,01596155,c,7,00000000,00000000,f,4
379,379,0,01596156,c,7,00000000,00000000,f,4
380,380,0,01596157,c,7,00000000,00000000,f,4
381,381,0,01596158,c,7,00000000,00000000,f,4
382,382,0,01596159,c,7,00000000,00000000,f,4
383,383,0,0159615a,c,7,00000000,00000000,f,4
384,384,0,0159615b,c,7,00000000,00000000,f,4
385,385,0,0159615c,c,7,00000000,00000000,f,4
386,386,0,0159615d,c,7,00000000,00000000,f,4
387,387,0,0159615e,c,7,00000000,00000000,f,4
388,388,0,0159615f,c,7,00000000,00000000,f,4
389,389,0,01596160,c,7,00000000,00000000,f,4
390,390,0,01596161,c,7,00000000,00000000,f,4
391,391,0,01596162,c,7,00000000,00000000,f,4
392,392,0,01596163,c,7,00000000,00000000,f,4
393,393,0,01596164,c,7,00000000,00000000,f,4
394,394,0,01596165,c,7,00000000,00000000,f,4
395,395,0,01596166,c,7,00000000,00000000,f,4
396,396,0,01596167,c,7,00000000,00000000,f,4
397,397,0,01596168,c,7,00000000,00000000,f,4
398,398,0,01596169,c,7,00000000,00000000,f,4
399,399,0,0159616a,c,7,00000000,00000000,f,4
400,400,0,0159616b,c,7,00000000,00000000,f,4
401,401,0,0159616c,c,7,00000000,00000000,f,4
402,402,0,0159616d,c,7,00000000,00000000,f,4
403,403,0,0159616e,c,7,00000000,00000000,f,4
404,404,0,0159616f,c,7,00000000,00000000,f,4
405,405,0,01596170,c,7,00000000,00000000,f,4
406,406,0,01596171,c,7,00000000,00000000,f,4
407,407,0,01596172,c,7,00000000,00000000,f,4
408,408,0,01596173,c,7,00000000,00000000,f,4
409,409,0,01596174,c,7,00000000,00000000,f,4
410,410,0,01596175,c,7,00000000,00000000,f,4
411,411,0,01596176,c,7,00000000,00000000,f,4
412,412,0,01596177,c,7,00000000,00000000,f,4
413,413,0,01596178,c,7,00000000,00000000,f,4
414,414,0,01596179,c,7,00000000,00000000,f,4
415,415,0,0159617a,c,7,00000000,00000000,f,4
416,416,0,0159617b,c,7,00000000,00000000,f,4
417,417,0,0159617c,c,7,00000000,00000000,f,4
418,418,0,0159617d,c,7,00000000,00000000,f,4
419,419,0,0159617e,c,7,00000000,00000000,f,4
420,420,0,0159617f,c,7,00000000,00000000,f,4
421,421,0,01596180,c,7,00000000,00000000,f,4
422,422,0,01596181,c,7,00000000,00000000,f,4
423,423,0,01596182,c,7,00000000,00000000,f,4
424,424,0,01596183,c,7,00000000,00000000,f,4
425,425,0,01596184,c,7,00000000,00000000,f,4
426,426,0,01596185,c,7,00000000,00000000,f,4
427,427,0,01596186,c,7,00000000,00000000,f,4
428,428,0,01596187,c,7,00000000,00000000,f,4
429,429,0,01596188,c,7,00000000,00000000,f,4
430,430,0,01596189,c,7,00000000,00000000,f,4
431,431,0,0159618a,c,7,00000000,00000000,f,4
432,432,0,0159618b,c,7,00000000,00000000,f,4
433,433,0,0159618c,c,7,00000000,00000000,f,4
434,434,0,0159618d,c,7,00000000,00000000,f,4
435,435,0,0159618e,c,7,00000000,00000000,f,4
436,436,0,0159618f,c,7,00000000,00000000,f,4
437,437,0,01596190,c,7,00000000,00000000,f,4
438,438,0,01596191,c,7,00000000,00000000,f,4
439,439,0,01596192,c,7,00000000,00000000,f,4
440,440,0,01596193,c,7,00000000,00000000,f,4
441,441,0,01596194,c,7,00000000,00000000,f,4
442,442,0,01596195,c,7,00000000,00000000,f,4
443,443,0,01596196,c,7,00000000,00000000,f,4
444,444,0,01596197,c,7,00000000,00000000,f,4
445,445,0,01596198,c,7,00000000,00000000,f,4
446,446,0,01596199,c,7,00000000,00000000,f,4
447,447,0,0159619a,c,7,00000000,00000000,f,4
448,448,0,0159619b,c,7,00000000,00000000,f,4
449,449,0,0159619c,c,7,00000000,00000000,f,4
450,450,0,0159619d,c,7,00000000,00000000,f,4
451,451,0,0159619e,c,7,00000000,00000000,f,4
452,452,0,0159619f,c,7,00000000,00000000,f,4
453,453,0,015961a0,c,7,00000000,00000000,f,4
454,454,0,015961a1,c,7,00000000,00000000,f,4
455,455,0,015961a2,c,7,00000000,00000000,f,4
456,456,0,015961a3,c,7,00000000,00000000,f,4
457,457,0,015961a4,c,7,00000000,00000000,f,4
458,458,0,015961a5,c,7,00000000,00000000,f,4
459,459,0,015961a6,c,7,00000000,00000000,f,4
460,460,0,015961a7,c,7,00000000,00000000,f,4
461,461,0,015961a8,c,7,00000000,00000000,f,4
462,462,0,015961a9,c,7,00000000,00000000,f,4
463,463,0,015961aa,c,7,00000000,00000000,f,4
464,464,0,015961ab,c,7,00000000,00000000,f,4
465,465,0,015961ac,c,7,00000000,00000000,f,4
466,466,0,015961ad,c,7,00000000,00000000,f,4
467,467,0,015961ae,c,7,00000000,00000000,f,4
468,468,0,015961af,c,7,00000000,00000000,f,4
469,469,0,015961b0,c,7,00000000,00000000,f,4
470,470,0,015961b1,c,7,00000000,00000000,f,4
471,471,0,015961b2,c,7,00000000,00000000,f,4
472,472,0,015961b3,c,7,00000000,00000000,f,4
473,473,0,015961b4,c,7,00000000,00000000,f,4
474,474,0,015961b5,c,7,00000000,00000000,f,4
475,475,0,015961b6,c,7,00000000,00000000,f,4
476,476,0,015961b7,c,7,00000000,00000000,f,4
477,477,0,015961b8,c,7,00000000,00000000,f,4
478,478,0,015961b9,c,7,00000000,00000000,f,4
479,479,0,015961ba,c,7,00000000,00000000,f,4
480,480,0,015961bb,c,7,00000000,00000000,f,4
481,481,0,015961bc,c,7,00000000,00000000,f,4
482,482,0,015961bd,c,7,00000000,00000000,f,4
483,483,0,015961be,c,7,00000000,00000000,f,4
484,484,0,015961bf,c,7,00000000,00000000,f,4
485,485,0,015961c0,c,7,00000000,00000000,f,4
486,486,0,015961c1,c,7,00000000,00000000,f,4
487,487,0,015961c2,c,7,00000000,00000000,f,4
488,488,0,015961c3,c,7,00000000,00000000,f,4
489,489,0,015961c4,c,7,00000000,00000000,f,4
490,490,0,015961c5,c,7,00000000,00000000,f,4
491,491,0,015961c6,c,7,00000000,00000000,f,4
492,492,0,015961c7,c,7,00000000,00000000,f,4
493,493,0,015961c8,c,7,00000000,00000000,f,4
494,494,0,015961c9,c,7,00000000,00000000,f,4
495,495,0,015961ca,c,7,00000000,00000000,f,4
496,496,0,015961cb,c,7,00000000,00000000,f,4
497,497,0,015961cc,c,7,00000000,00000000,f,4
498,498,0,015961cd,c,7,00000000,00000000,f,4
499,499,0,015961ce,c,7,00000000,00000000,f,4
500,500,0,015961cf,c,7,00000000,00000000,f,4
501,501,0,015961d0,c,7,00000000,00000000,f,4
502,502,0,015961d1,c,7,00000000,00000000,f,4
503,503,0,015961d2,c,7,00000000,00000000,f,4
504,504,0,015961d3,c,7,00000000,00000000,f,4
505,505,0,015961d4,c,7,00000000,00000000,f,4
506,506,0,015961d5,c,7,00000000,00000000,f,4
