Sample in Buffer,Sample in Window,TRIGGER,probe0_pc[31:0],probe1_reset_uart[3:0],probe2_liveness[2:0],probe3_pc_activity[31:0],probe4_nice_csr[31:0],probe5_nice_hs[3:0],probe6_mem_status[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
269,269,0,00000000,d,0,000e518e,00000000,4,4
270,270,0,00000000,d,0,000e518e,00000000,4,4
271,271,0,00000000,d,0,000e518e,00000000,4,4
272,272,0,00000000,d,0,000e518e,00000000,4,4
273,273,0,00000000,d,0,000e518e,00000000,4,4
274,274,0,00000000,d,0,000e518e,00000000,4,4
275,275,0,00000000,d,0,000e518e,00000000,4,4
276,276,0,00000000,d,0,000e518e,00000000,4,4
277,277,0,00000000,d,0,000e518e,00000000,4,4
278,278,0,00000000,d,0,000e518e,00000000,4,4
279,279,0,00000000,d,0,000e518e,00000000,4,4
280,280,0,00000000,d,0,000e518e,00000000,4,4
281,281,0,00000000,d,0,000e518e,00000000,4,4
282,282,0,00000000,d,0,000e518e,00000000,4,4
283,283,0,00000000,d,0,000e518e,00000000,4,4
284,284,0,00000000,d,0,000e518e,00000000,4,4
285,285,0,00000000,d,0,000e518e,00000000,4,4
286,286,0,00000000,d,0,000e518e,00000000,4,4
287,287,0,00000000,d,0,000e518e,00000000,4,4
288,288,0,00000000,d,0,000e518e,00000000,4,4
289,289,0,00000000,d,0,000e518e,00000000,4,4
290,290,0,00000000,d,0,000e518e,00000000,4,4
291,291,0,00000000,d,0,000e518e,00000000,4,4
292,292,0,00000000,d,0,000e518e,00000000,4,4
293,293,0,00000000,d,0,000e518e,00000000,4,4
294,294,0,00000000,d,0,000e518e,00000000,4,4
295,295,0,00000000,d,0,000e518e,00000000,4,4
296,296,0,00000000,d,0,000e518e,00000000,4,4
297,297,0,00000000,d,0,000e518e,00000000,4,4
298,298,0,00000000,d,0,000e518e,00000000,4,4
299,299,0,00000000,d,0,000e518e,00000000,4,4
300,300,0,00000000,d,0,000e518e,00000000,4,4
301,301,0,00000000,d,0,000e518e,00000000,4,4
302,302,0,00000000,d,0,000e518e,00000000,4,4
303,303,0,00000000,d,0,000e518e,00000000,4,4
304,304,0,00000002,d,0,000e518f,00000000,4,4
305,305,0,00000002,d,0,000e518f,00000000,4,4
306,306,0,00000002,d,0,000e518f,00000000,4,4
307,307,0,00000002,d,0,000e518f,00000000,4,4
308,308,0,00000000,d,0,000e5190,00000000,4,4
309,309,0,00000000,d,0,000e5190,00000000,4,4
310,310,0,00000000,d,0,000e5190,00000000,4,4
311,311,0,00000000,d,0,000e5190,00000000,4,4
312,312,0,00000000,d,0,000e5190,00000000,4,4
313,313,0,00000000,d,0,000e5190,00000000,4,4
314,314,0,00000000,d,0,000e5190,00000000,4,4
315,315,0,00000000,d,0,000e5190,00000000,4,4
316,316,0,00000000,d,0,000e5190,00000000,4,4
317,317,0,00000000,d,0,000e5190,00000000,4,4
318,318,0,00000000,d,0,000e5190,00000000,4,4
319,319,0,00000000,d,0,000e5190,00000000,4,4
320,320,0,00000000,d,0,000e5190,00000000,4,4
321,321,0,00000000,d,0,000e5190,00000000,4,4
322,322,0,00000000,d,0,000e5190,00000000,4,4
323,323,0,00000000,d,0,000e5190,00000000,4,4
324,324,0,00000000,d,0,000e5190,00000000,4,4
325,325,0,00000000,d,0,000e5190,00000000,4,4
326,326,0,00000000,d,0,000e5190,00000000,4,4
327,327,0,00000000,d,0,000e5190,00000000,4,4
328,328,0,00000000,d,0,000e5190,00000000,4,4
329,329,0,00000000,d,0,000e5190,00000000,4,4
330,330,0,00000000,d,0,000e5190,00000000,4,4
331,331,0,00000000,d,0,000e5190,00000000,4,4
332,332,0,00000000,d,0,000e5190,00000000,4,4
333,333,0,00000000,d,0,000e5190,00000000,4,4
334,334,0,00000000,d,0,000e5190,00000000,4,4
335,335,0,00000000,d,0,000e5190,00000000,4,4
336,336,0,00000000,d,0,000e5190,00000000,4,4
337,337,0,00000000,d,0,000e5190,00000000,4,4
338,338,0,00000000,d,0,000e5190,00000000,4,4
339,339,0,00000000,d,0,000e5190,00000000,4,4
340,340,0,00000000,d,0,000e5190,00000000,4,4
341,341,0,00000000,d,0,000e5190,00000000,4,4
342,342,0,00000000,d,0,000e5190,00000000,4,4
343,343,0,00000000,d,0,000e5190,00000000,4,4
344,344,0,00000000,d,0,000e5190,00000000,4,4
345,345,0,00000000,d,0,000e5190,00000000,4,4
346,346,0,00000000,d,0,000e5190,00000000,4,4
347,347,0,00000000,d,0,000e5190,00000000,4,4
348,348,0,00000000,d,0,000e5190,00000000,4,4
349,349,0,00000000,d,0,000e5190,00000000,4,4
350,350,0,00000000,d,0,000e5190,00000000,4,4
351,351,0,00000002,d,0,000e5191,00000000,4,4
352,352,0,00000002,d,0,000e5191,00000000,4,4
353,353,0,00000002,d,0,000e5191,00000000,4,4
354,354,0,00000000,d,0,000e5192,00000000,4,4
355,355,0,00000000,d,0,000e5192,00000000,4,4
356,356,0,00000000,d,0,000e5192,00000000,4,4
357,357,0,00000000,d,0,000e5192,00000000,4,4
358,358,0,00000000,d,0,000e5192,00000000,4,4
359,359,0,00000000,d,0,000e5192,00000000,4,4
360,360,0,00000000,d,0,000e5192,00000000,4,4
361,361,0,00000000,d,0,000e5192,00000000,4,4
362,362,0,00000000,d,0,000e5192,00000000,4,4
363,363,0,00000000,d,0,000e5192,00000000,4,4
364,364,0,00000000,d,0,000e5192,00000000,4,4
365,365,0,00000000,d,0,000e5192,00000000,4,4
366,366,0,00000000,d,0,000e5192,00000000,4,4
367,367,0,00000000,d,0,000e5192,00000000,4,4
368,368,0,00000000,d,0,000e5192,00000000,4,4
369,369,0,00000000,d,0,000e5192,00000000,4,4
370,370,0,00000000,d,0,000e5192,00000000,4,4
371,371,0,00000000,d,0,000e5192,00000000,4,4
372,372,0,00000000,d,0,000e5192,00000000,4,4
373,373,0,00000000,d,0,000e5192,00000000,4,4
374,374,0,00000000,d,0,000e5192,00000000,4,4
375,375,0,00000000,d,0,000e5192,00000000,4,4
376,376,0,00000000,d,0,000e5192,00000000,4,4
377,377,0,00000000,d,0,000e5192,00000000,4,4
378,378,0,00000000,d,0,000e5192,00000000,4,4
379,379,0,00000000,d,0,000e5192,00000000,4,4
380,380,0,00000000,d,0,000e5192,00000000,4,4
381,381,0,00000000,d,0,000e5192,00000000,4,4
382,382,0,00000000,d,0,000e5192,00000000,4,4
383,383,0,00000000,d,0,000e5192,00000000,4,4
384,384,0,00000000,d,0,000e5192,00000000,4,4
385,385,0,00000000,d,0,000e5192,00000000,4,4
386,386,0,00000000,d,0,000e5192,00000000,4,4
387,387,0,00000000,d,0,000e5192,00000000,4,4
388,388,0,00000000,d,0,000e5192,00000000,4,4
389,389,0,00000000,d,0,000e5192,00000000,4,4
390,390,0,00000000,d,0,000e5192,00000000,4,4
391,391,0,00000000,d,0,000e5192,00000000,4,4
392,392,0,00000000,d,0,000e5192,00000000,4,4
393,393,0,00000000,d,0,000e5192,00000000,4,4
394,394,0,00000000,d,0,000e5192,00000000,4,4
395,395,0,00000000,d,0,000e5192,00000000,4,4
396,396,0,00000000,d,0,000e5192,00000000,4,4
397,397,0,00000000,d,0,000e5192,00000000,4,4
398,398,0,00000002,d,0,000e5193,00000000,4,4
399,399,0,00000002,d,0,000e5193,00000000,4,4
400,400,0,00000002,d,0,000e5193,00000000,4,4
401,401,0,00000000,d,0,000e5194,00000000,4,4
402,402,0,00000000,d,0,000e5194,00000000,4,4
403,403,0,00000000,d,0,000e5194,00000000,4,4
404,404,0,00000000,d,0,000e5194,00000000,4,4
405,405,0,00000000,d,0,000e5194,00000000,4,4
406,406,0,00000000,d,0,000e5194,00000000,4,4
407,407,0,00000000,d,0,000e5194,00000000,4,4
408,408,0,00000000,d,0,000e5194,00000000,4,4
409,409,0,00000000,d,0,000e5194,00000000,4,4
410,410,0,00000000,d,0,000e5194,00000000,4,4
411,411,0,00000000,d,0,000e5194,00000000,4,4
412,412,0,00000000,d,0,000e5194,00000000,4,4
413,413,0,00000000,d,0,000e5194,00000000,4,4
414,414,0,00000000,d,0,000e5194,00000000,4,4
415,415,0,00000000,d,0,000e5194,00000000,4,4
416,416,0,00000000,d,0,000e5194,00000000,4,4
417,417,0,00000000,d,0,000e5194,00000000,4,4
418,418,0,00000000,d,0,000e5194,00000000,4,4
419,419,0,00000000,d,0,000e5194,00000000,4,4
420,420,0,00000000,d,0,000e5194,00000000,4,4
421,421,0,00000000,d,0,000e5194,00000000,4,4
422,422,0,00000000,d,0,000e5194,00000000,4,4
423,423,0,00000000,d,0,000e5194,00000000,4,4
424,424,0,00000000,d,0,000e5194,00000000,4,4
425,425,0,00000000,d,0,000e5194,00000000,4,4
426,426,0,00000000,d,0,000e5194,00000000,4,4
427,427,0,00000000,d,0,000e5194,00000000,4,4
428,428,0,00000000,d,0,000e5194,00000000,4,4
429,429,0,00000000,d,0,000e5194,00000000,4,4
430,430,0,00000000,d,0,000e5194,00000000,4,4
431,431,0,00000000,d,0,000e5194,00000000,4,4
432,432,0,00000000,d,0,000e5194,00000000,4,4
433,433,0,00000000,d,0,000e5194,00000000,4,4
434,434,0,00000000,d,0,000e5194,00000000,4,4
435,435,0,00000000,d,0,000e5194,00000000,4,4
436,436,0,00000000,d,0,000e5194,00000000,4,4
437,437,0,00000000,d,0,000e5194,00000000,4,4
438,438,0,00000000,d,0,000e5194,00000000,4,4
439,439,0,00000000,d,0,000e5194,00000000,4,4
440,440,0,00000000,d,0,000e5194,00000000,4,4
441,441,0,00000000,d,0,000e5194,00000000,4,4
442,442,0,00000000,d,0,000e5194,00000000,4,4
443,443,0,00000000,d,0,000e5194,00000000,4,4
444,444,0,00000000,d,0,000e5194,00000000,4,4
445,445,0,00000002,d,0,000e5195,00000000,4,4
446,446,0,00000002,d,0,000e5195,00000000,4,4
447,447,0,00000002,d,0,000e5195,00000000,4,4
448,448,0,00000000,d,0,000e5196,00000000,4,4
449,449,0,00000000,d,0,000e5196,00000000,4,4
450,450,0,00000000,d,0,000e5196,00000000,4,4
451,451,0,00000000,d,0,000e5196,00000000,4,4
452,452,0,00000000,d,0,000e5196,00000000,4,4
453,453,0,00000000,d,0,000e5196,00000000,4,4
454,454,0,00000000,d,0,000e5196,00000000,4,4
455,455,0,00000000,d,0,000e5196,00000000,4,4
456,456,0,00000000,d,0,000e5196,00000000,4,4
457,457,0,00000000,d,0,000e5196,00000000,4,4
458,458,0,00000000,d,0,000e5196,00000000,4,4
459,459,0,00000000,d,0,000e5196,00000000,4,4
460,460,0,00000000,d,0,000e5196,00000000,4,4
461,461,0,00000000,d,0,000e5196,00000000,4,4
462,462,0,00000000,d,0,000e5196,00000000,4,4
463,463,0,00000000,d,0,000e5196,00000000,4,4
464,464,0,00000000,d,0,000e5196,00000000,4,4
465,465,0,00000000,d,0,000e5196,00000000,4,4
466,466,0,00000000,d,0,000e5196,00000000,4,4
467,467,0,00000000,d,0,000e5196,00000000,4,4
468,468,0,00000000,d,0,000e5196,00000000,4,4
469,469,0,00000000,d,0,000e5196,00000000,4,4
470,470,0,00000000,d,0,000e5196,00000000,4,4
471,471,0,00000000,d,0,000e5196,00000000,4,4
472,472,0,00000000,d,0,000e5196,00000000,4,4
473,473,0,00000000,d,0,000e5196,00000000,4,4
474,474,0,00000000,d,0,000e5196,00000000,4,4
475,475,0,00000000,d,0,000e5196,00000000,4,4
476,476,0,00000000,d,0,000e5196,00000000,4,4
477,477,0,00000000,d,0,000e5196,00000000,4,4
478,478,0,00000000,d,0,000e5196,00000000,4,4
479,479,0,00000000,d,0,000e5196,00000000,4,4
480,480,0,00000000,d,0,000e5196,00000000,4,4
481,481,0,00000000,d,0,000e5196,00000000,4,4
