Sample in Buffer,Sample in Window,TRIGGER,probe0_pc[31:0],probe1_status[3:0],probe2_membus_live[2:0],probe3_mem_addr[31:0],probe4_membus_counts[31:0],probe5_uart[3:0],probe6_flags[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
1006,1006,0,80000078,c,0,1001200c,00000000,4,4
1007,1007,0,80000078,d,0,1001200c,00000000,4,4
1008,1008,0,80000078,d,0,1001200c,00000000,4,4
1009,1009,0,80000078,c,0,1001200c,00000000,4,4
1010,1010,0,80000078,c,0,1001200c,00000000,4,4
1011,1011,0,80000078,d,0,1001200c,00000000,4,4
1012,1012,0,80000078,c,0,1001200c,00000000,4,4
1013,1013,0,80000078,c,0,1001200c,00000000,4,4
1014,1014,0,80000078,d,0,1001200c,00000000,4,4
1015,1015,0,80000078,c,0,1001200c,00000000,4,4
1016,1016,0,80000078,c,0,1001200c,00000000,4,4
1017,1017,0,80000078,d,0,1001200c,00000000,4,4
1018,1018,0,80000078,c,0,1001200c,00000000,4,4
1019,1019,0,80000078,c,0,1001200c,00000000,4,4
1020,1020,0,80000078,d,0,1001200c,00000000,4,4
1021,1021,0,80000078,c,0,1001200c,00000000,4,4
1022,1022,0,80000078,c,0,1001200c,00000000,4,4
1023,1023,0,80000078,d,0,1001200c,00000000,4,4
