Sample in Buffer,Sample in Window,TRIGGER,probe0_pc[31:0],probe1_status[3:0],probe2_membus_live[2:0],probe3_mem_addr[31:0],probe4_membus_counts[31:0],probe5_uart[3:0],probe6_flags[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
181,181,0,80000078,c,0,1001200c,00000000,4,4
182,182,0,80000078,d,0,1001200c,00000000,4,4
183,183,0,80000078,d,0,1001200c,00000000,4,4
184,184,0,80000078,c,0,1001200c,00000000,4,4
185,185,0,80000078,c,0,1001200c,00000000,4,4
186,186,0,80000078,d,0,1001200c,00000000,4,4
187,187,0,80000078,c,0,1001200c,00000000,4,4
188,188,0,80000078,c,0,1001200c,00000000,4,4
189,189,0,80000078,d,0,1001200c,00000000,4,4
190,190,0,80000078,c,0,1001200c,00000000,4,4
191,191,0,80000078,c,0,1001200c,00000000,4,4
192,192,0,80000078,d,0,1001200c,00000000,4,4
193,193,0,80000078,c,0,1001200c,00000000,4,4
194,194,0,80000078,c,0,1001200c,00000000,4,4
195,195,0,80000078,d,0,1001200c,00000000,4,4
196,196,0,80000078,c,0,1001200c,00000000,4,4
197,197,0,80000078,c,0,1001200c,00000000,4,4
198,198,0,80000078,d,0,1001200c,00000000,4,4
199,199,0,80000078,d,0,1001200c,00000000,4,4
200,200,0,80000078,c,0,1001200c,00000000,4,4
201,201,0,80000078,d,0,1001200c,00000000,4,4
202,202,0,80000078,d,0,1001200c,00000000,4,4
203,203,0,80000078,c,0,1001200c,00000000,4,4
204,204,0,80000078,d,0,1001200c,00000000,4,4
205,205,0,80000078,d,0,1001200c,00000000,4,4
206,206,0,80000078,c,0,1001200c,00000000,4,4
207,207,0,80000078,d,0,1001200c,00000000,4,4
208,208,0,80000078,d,0,1001200c,00000000,4,4
209,209,0,80000078,c,0,1001200c,00000000,4,4
210,210,0,80000078,c,0,1001200c,00000000,4,4
211,211,0,80000078,d,0,1001200c,00000000,4,4
212,212,0,80000078,c,0,1001200c,00000000,4,4
213,213,0,80000078,c,0,1001200c,00000000,4,4
214,214,0,80000078,d,0,1001200c,00000000,4,4
215,215,0,80000078,c,0,1001200c,00000000,4,4
216,216,0,80000078,c,0,1001200c,00000000,4,4
217,217,0,80000078,d,0,1001200c,00000000,4,4
218,218,0,80000078,c,0,1001200c,00000000,4,4
219,219,0,80000078,c,0,1001200c,00000000,4,4
220,220,0,80000078,d,0,1001200c,00000000,4,4
221,221,0,80000078,c,0,1001200c,00000000,4,4
222,222,0,80000078,c,0,1001200c,00000000,4,4
223,223,0,80000078,d,0,1001200c,00000000,4,4
224,224,0,80000078,d,0,1001200c,00000000,4,4
225,225,0,80000078,c,0,1001200c,00000000,4,4
226,226,0,80000078,d,0,1001200c,00000000,4,4
227,227,0,80000078,d,0,1001200c,00000000,4,4
228,228,0,80000078,c,0,1001200c,00000000,4,4
229,229,0,80000078,d,0,1001200c,00000000,4,4
230,230,0,80000078,d,0,1001200c,00000000,4,4
231,231,0,80000078,c,0,1001200c,00000000,4,4
232,232,0,80000078,d,0,1001200c,00000000,4,4
233,233,0,80000078,d,0,1001200c,00000000,4,4
234,234,0,80000078,c,0,1001200c,00000000,4,4
235,235,0,80000078,c,0,1001200c,00000000,4,4
236,236,0,80000078,d,0,1001200c,00000000,4,4
237,237,0,80000078,c,0,1001200c,00000000,4,4
238,238,0,80000078,c,0,1001200c,00000000,4,4
239,239,0,80000078,d,0,1001200c,00000000,4,4
240,240,0,80000078,c,0,1001200c,00000000,4,4
241,241,0,80000078,c,0,1001200c,00000000,4,4
242,242,0,80000078,d,0,1001200c,00000000,4,4
243,243,0,80000078,c,0,1001200c,00000000,4,4
244,244,0,80000078,c,0,1001200c,00000000,4,4
245,245,0,80000078,d,0,1001200c,00000000,4,4
246,246,0,80000078,c,0,1001200c,00000000,4,4
247,247,0,80000078,c,0,1001200c,00000000,4,4
248,248,0,80000078,d,0,1001200c,00000000,4,4
249,249,0,80000078,d,0,1001200c,00000000,4,4
250,250,0,80000078,c,0,1001200c,00000000,4,4
251,251,0,80000078,d,0,1001200c,00000000,4,4
252,252,0,80000078,d,0,1001200c,00000000,4,4
253,253,0,80000078,c,0,1001200c,00000000,4,4
254,254,0,80000078,d,0,1001200c,00000000,4,4
255,255,0,80000078,d,0,1001200c,00000000,4,4
256,256,0,80000078,c,0,1001200c,00000000,4,4
257,257,0,80000078,d,0,1001200c,00000000,4,4
258,258,0,80000078,d,0,1001200c,00000000,4,4
259,259,0,80000078,c,0,1001200c,00000000,4,4
260,260,0,80000078,c,0,1001200c,00000000,4,4
261,261,0,80000078,d,0,1001200c,00000000,4,4
262,262,0,80000078,c,0,1001200c,00000000,4,4
263,263,0,80000078,c,0,1001200c,00000000,4,4
264,264,0,80000078,d,0,1001200c,00000000,4,4
265,265,0,80000078,c,0,1001200c,00000000,4,4
266,266,0,80000078,c,0,1001200c,00000000,4,4
267,267,0,80000078,d,0,1001200c,00000000,4,4
268,268,0,80000078,c,0,1001200c,00000000,4,4
269,269,0,80000078,c,0,1001200c,00000000,4,4
270,270,0,80000078,d,0,1001200c,00000000,4,4
271,271,0,80000078,c,0,1001200c,00000000,4,4
272,272,0,80000078,c,0,1001200c,00000000,4,4
273,273,0,80000078,d,0,1001200c,00000000,4,4
274,274,0,80000078,d,0,1001200c,00000000,4,4
275,275,0,80000078,c,0,1001200c,00000000,4,4
276,276,0,80000078,d,0,1001200c,00000000,4,4
277,277,0,80000078,d,0,1001200c,00000000,4,4
278,278,0,80000078,c,0,1001200c,00000000,4,4
279,279,0,80000078,d,0,1001200c,00000000,4,4
280,280,0,80000078,d,0,1001200c,00000000,4,4
281,281,0,80000078,c,0,1001200c,00000000,4,4
282,282,0,80000078,d,0,1001200c,00000000,4,4
283,283,0,80000078,d,0,1001200c,00000000,4,4
284,284,0,80000078,c,0,1001200c,00000000,4,4
285,285,0,80000078,c,0,1001200c,00000000,4,4
286,286,0,80000078,d,0,1001200c,00000000,4,4
287,287,0,80000078,c,0,1001200c,00000000,4,4
288,288,0,80000078,c,0,1001200c,00000000,4,4
289,289,0,80000078,d,0,1001200c,00000000,4,4
290,290,0,80000078,c,0,1001200c,00000000,4,4
291,291,0,80000078,c,0,1001200c,00000000,4,4
292,292,0,80000078,d,0,1001200c,00000000,4,4
293,293,0,80000078,c,0,1001200c,00000000,4,4
294,294,0,80000078,c,0,1001200c,00000000,4,4
295,295,0,80000078,d,0,1001200c,00000000,4,4
296,296,0,80000078,c,0,1001200c,00000000,4,4
297,297,0,80000078,c,0,1001200c,00000000,4,4
298,298,0,80000078,d,0,1001200c,00000000,4,4
299,299,0,80000078,d,0,1001200c,00000000,4,4
300,300,0,80000078,c,0,1001200c,00000000,4,4
301,301,0,80000078,d,0,1001200c,00000000,4,4
302,302,0,80000078,d,0,1001200c,00000000,4,4
303,303,0,80000078,c,0,1001200c,00000000,4,4
304,304,0,80000078,d,0,1001200c,00000000,4,4
305,305,0,80000078,d,0,1001200c,00000000,4,4
306,306,0,80000078,c,0,1001200c,00000000,4,4
307,307,0,80000078,d,0,1001200c,00000000,4,4
308,308,0,80000078,d,0,1001200c,00000000,4,4
309,309,0,80000078,c,0,1001200c,00000000,4,4
310,310,0,80000078,c,0,1001200c,00000000,4,4
311,311,0,80000078,d,0,1001200c,00000000,4,4
312,312,0,80000078,c,0,1001200c,00000000,4,4
313,313,0,80000078,c,0,1001200c,00000000,4,4
314,314,0,80000078,d,0,1001200c,00000000,4,4
315,315,0,80000078,c,0,1001200c,00000000,4,4
316,316,0,80000078,c,0,1001200c,00000000,4,4
317,317,0,80000078,d,0,1001200c,00000000,4,4
318,318,0,80000078,c,0,1001200c,00000000,4,4
319,319,0,80000078,c,0,1001200c,00000000,4,4
320,320,0,80000078,d,0,1001200c,00000000,4,4
321,321,0,80000078,c,0,1001200c,00000000,4,4
322,322,0,80000078,c,0,1001200c,00000000,4,4
323,323,0,80000078,d,0,1001200c,00000000,4,4
324,324,0,80000078,d,0,1001200c,00000000,4,4
325,325,0,80000078,c,0,1001200c,00000000,4,4
326,326,0,80000078,d,0,1001200c,00000000,4,4
327,327,0,80000078,d,0,1001200c,00000000,4,4
328,328,0,80000078,c,0,1001200c,00000000,4,4
329,329,0,80000078,d,0,1001200c,00000000,4,4
330,330,0,80000078,d,0,1001200c,00000000,4,4
331,331,0,80000078,c,0,1001200c,00000000,4,4
332,332,0,80000078,d,0,1001200c,00000000,4,4
333,333,0,80000078,d,0,1001200c,00000000,4,4
334,334,0,80000078,c,0,1001200c,00000000,4,4
335,335,0,80000078,c,0,1001200c,00000000,4,4
336,336,0,80000078,d,0,1001200c,00000000,4,4
337,337,0,80000078,c,0,1001200c,00000000,4,4
338,338,0,80000078,c,0,1001200c,00000000,4,4
339,339,0,80000078,d,0,1001200c,00000000,4,4
340,340,0,80000078,c,0,1001200c,00000000,4,4
341,341,0,80000078,c,0,1001200c,00000000,4,4
342,342,0,80000078,d,0,1001200c,00000000,4,4
343,343,0,80000078,c,0,1001200c,00000000,4,4
344,344,0,80000078,c,0,1001200c,00000000,4,4
345,345,0,80000078,d,0,1001200c,00000000,4,4
346,346,0,80000078,c,0,1001200c,00000000,4,4
347,347,0,80000078,c,0,1001200c,00000000,4,4
348,348,0,80000078,d,0,1001200c,00000000,4,4
349,349,0,80000078,d,0,1001200c,00000000,4,4
350,350,0,80000078,c,0,1001200c,00000000,4,4
351,351,0,80000078,d,0,1001200c,00000000,4,4
352,352,0,80000078,d,0,1001200c,00000000,4,4
353,353,0,80000078,c,0,1001200c,00000000,4,4
354,354,0,80000078,d,0,1001200c,00000000,4,4
355,355,0,80000078,d,0,1001200c,00000000,4,4
356,356,0,80000078,c,0,1001200c,00000000,4,4
357,357,0,80000078,d,0,1001200c,00000000,4,4
358,358,0,80000078,d,0,1001200c,00000000,4,4
359,359,0,80000078,c,0,1001200c,00000000,4,4
360,360,0,80000078,c,0,1001200c,00000000,4,4
361,361,0,80000078,d,0,1001200c,00000000,4,4
362,362,0,80000078,c,0,1001200c,00000000,4,4
363,363,0,80000078,c,0,1001200c,00000000,4,4
364,364,0,80000078,d,0,1001200c,00000000,4,4
365,365,0,80000078,c,0,1001200c,00000000,4,4
366,366,0,80000078,c,0,1001200c,00000000,4,4
367,367,0,80000078,d,0,1001200c,00000000,4,4
368,368,0,80000078,c,0,1001200c,00000000,4,4
369,369,0,80000078,c,0,1001200c,00000000,4,4
370,370,0,80000078,d,0,1001200c,00000000,4,4
371,371,0,80000078,c,0,1001200c,00000000,4,4
372,372,0,80000078,c,0,1001200c,00000000,4,4
373,373,0,80000078,d,0,1001200c,00000000,4,4
374,374,0,80000078,d,0,1001200c,00000000,4,4
375,375,0,80000078,c,0,1001200c,00000000,4,4
376,376,0,80000078,d,0,1001200c,00000000,4,4
377,377,0,80000078,d,0,1001200c,00000000,4,4
378,378,0,80000078,c,0,1001200c,00000000,4,4
379,379,0,80000078,d,0,1001200c,00000000,4,4
380,380,0,80000078,d,0,1001200c,00000000,4,4
381,381,0,80000078,c,0,1001200c,00000000,4,4
382,382,0,80000078,d,0,1001200c,00000000,4,4
383,383,0,80000078,d,0,1001200c,00000000,4,4
384,384,0,80000078,c,0,1001200c,00000000,4,4
385,385,0,80000078,c,0,1001200c,00000000,4,4
386,386,0,80000078,d,0,1001200c,00000000,4,4
387,387,0,80000078,c,0,1001200c,00000000,4,4
388,388,0,80000078,c,0,1001200c,00000000,4,4
389,389,0,80000078,d,0,1001200c,00000000,4,4
390,390,0,80000078,c,0,1001200c,00000000,4,4
391,391,0,80000078,c,0,1001200c,00000000,4,4
392,392,0,80000078,d,0,1001200c,00000000,4,4
393,393,0,80000078,c,0,1001200c,00000000,4,4
394,394,0,80000078,c,0,1001200c,00000000,4,4
395,395,0,80000078,d,0,1001200c,00000000,4,4
396,396,0,80000078,c,0,1001200c,00000000,4,4
397,397,0,80000078,c,0,1001200c,00000000,4,4
398,398,0,80000078,d,0,1001200c,00000000,4,4
399,399,0,80000078,d,0,1001200c,00000000,4,4
400,400,0,80000078,c,0,1001200c,00000000,4,4
401,401,0,80000078,d,0,1001200c,00000000,4,4
402,402,0,80000078,d,0,1001200c,00000000,4,4
403,403,0,80000078,c,0,1001200c,00000000,4,4
404,404,0,80000078,d,0,1001200c,00000000,4,4
405,405,0,80000078,d,0,1001200c,00000000,4,4
406,406,0,80000078,c,0,1001200c,00000000,4,4
407,407,0,80000078,d,0,1001200c,00000000,4,4
408,408,0,80000078,d,0,1001200c,00000000,4,4
409,409,0,80000078,c,0,1001200c,00000000,4,4
410,410,0,80000078,c,0,1001200c,00000000,4,4
411,411,0,80000078,d,0,1001200c,00000000,4,4
412,412,0,80000078,c,0,1001200c,00000000,4,4
413,413,0,80000078,c,0,1001200c,00000000,4,4
414,414,0,80000078,d,0,1001200c,00000000,4,4
415,415,0,80000078,c,0,1001200c,00000000,4,4
416,416,0,80000078,c,0,1001200c,00000000,4,4
417,417,0,80000078,d,0,1001200c,00000000,4,4
418,418,0,80000078,c,0,1001200c,00000000,4,4
419,419,0,80000078,c,0,1001200c,00000000,4,4
420,420,0,80000078,d,0,1001200c,00000000,4,4
421,421,0,80000078,c,0,1001200c,00000000,4,4
422,422,0,80000078,c,0,1001200c,00000000,4,4
423,423,0,80000078,d,0,1001200c,00000000,4,4
424,424,0,80000078,d,0,1001200c,00000000,4,4
425,425,0,80000078,c,0,1001200c,00000000,4,4
426,426,0,80000078,d,0,1001200c,00000000,4,4
427,427,0,80000078,d,0,1001200c,00000000,4,4
428,428,0,80000078,c,0,1001200c,00000000,4,4
429,429,0,80000078,d,0,1001200c,00000000,4,4
